City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,current Description
260,Bulaevo,KZ,54.9056,70.4439,65.46,67,60,2.44,broken clouds
,,,,,,,,,
261,Boissevain,CA,49.2306,-100.0559,71.64,64,96,9.31,overcast clouds
,,,,,,,,,
262,Bethel,US,41.3712,-73.414,78.94,65,40,6.91,scattered clouds
,,,,,,,,,
263,Sangar,RU,63.9242,127.4739,59.77,36,0,8.03,clear sky
,,,,,,,,,
264,Nantucket,US,41.2835,-70.0995,74.97,91,100,24.47,overcast clouds
,,,,,,,,,
265,Talnakh,RU,69.4865,88.3972,68.58,58,37,3.53,scattered clouds
,,,,,,,,,
266,Chinsali,ZM,-10.5414,32.0816,66.09,43,21,8.39,few clouds
,,,,,,,,,
267,Khani,GE,41.9563,42.9566,71.17,93,21,2.57,few clouds
,,,,,,,,,
268,Saint-Georges,GD,12.0564,-61.7485,80.94,79,40,7.54,scattered clouds
,,,,,,,,,
269,Ambon,ID,-3.6954,128.1814,77.14,94,40,2.3,thunderstorm with light rain
,,,,,,,,,
270,Hastings,GB,50.8552,0.5729,64.9,99,74,18.45,broken clouds
,,,,,,,,,
271,Sao Filipe,CV,14.8961,-24.4956,78.73,88,97,6.15,overcast clouds
,,,,,,,,,
272,Ola,RU,59.5833,151.2833,45.59,64,95,9.62,overcast clouds
,,,,,,,,,
273,Caravelas,BR,-17.7125,-39.2481,72.61,71,100,11.23,overcast clouds
,,,,,,,,,
274,Port-Cartier,CA,50.0334,-66.8654,65.93,69,51,9.8,broken clouds
,,,,,,,,,
275,Mercedes,AR,-34.6515,-59.4307,67.1,52,0,11.63,clear sky
